,Name,Country,Latitude,Longitude,DT,Weather,Temperature,Max. Temperature,Min. Temperature,Clouds,Wind Speed,Humidity,Pressure,Sunrise,Sunset
106,Vaini,IN,15.34,74.49,1538184216,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",68.73,68.73,68.73,92,2.15,98,957.44,1538182298,1538225581
107,Mount Gambier,AU,-37.83,140.78,1538184216,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",53.61,53.61,53.61,64,4.61,77,1032.91,1538165769,1538210349
108,Ostrovnoy,RU,68.05,39.51,1538184216,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",36.69,36.69,36.69,88,18.14,84,988.97,1538191630,1538232937
109,Bluff,AU,-23.58,149.07,1538184216,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",77.46,77.46,77.46,0,5.61,55,1011.91,1538164001,1538208122
110,Port Blair,IN,11.67,92.75,1538184188,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",83.4,83.4,83.4,12,6.17,100,1021.88,1538177880,1538221239
111,Nanortalik,GL,60.14,-45.24,1538184216,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",37.77,37.77,37.77,0,30.22,94,1024.31,1538211713,1538253557
112,Buala,SB,-8.15,159.59,1538184217,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",83.76,83.76,83.76,68,4.94,88,1013.04,1538161652,1538205408
113,Gualaceo,EC,-2.89,-78.78,1538182800,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",60.8,60.8,60.8,75,8.05,63,1025.0,1538218896,1538262550
114,Reynosa,MX,26.07,-98.3,1538182500,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",78.82,80.96,75.38,20,6.93,84,1015.0,1538223885,1538266904
115,Carnarvon,ZA,-30.97,22.13,1538184217,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",38.67,38.67,38.67,0,9.08,43,882.54,1538194336,1538238712
